ID,status,meaning_ru,idxs,glosses,lemma,glottocode,reference
77,,5 ум; разум,1562,MIND,АКЪГЛУ,andi1255,anisalimov2010
157,,абрикос,3730,APRICOT,АХБАЗАН,andi1255,anisalimov2010
6330,,абрикос,3730,APRICOT,К̅У́К̅УЛ,tind1238,tinmagomedova2003
4758,,абрикос,3730,APRICOT,НИШÁ,ghod1238,gdosaidova2006
333,,абрикос,3730,APRICOT,АХБАЗÁН,bagv1239,kvamagomedova2004
4914,,абрикос,3730,APRICOT,ку'ракIе,akhv1239,akvmagomedovaabdulayeva2007
1851,,август,2851,AUGUST,ДЖУМАДУЛ-АС-САНИ,andi1255,anisalimov2010
24,,август,2851,AUGUST,ÁВГУСТ,ghod1238,gdosaidova2006
69,,август,2851,AUGUST,ÁВГУСТБО̄С̄I,bagv1239,kvamagomedova2004
268,,автобус,1070,BUS,АТАБУ́ЗИ,tind1238,tinmagomedova2003
7,,автобус,1070,BUS,АБТÁБУС/У,ghod1238,gdosaidova2006
42,,автобус,1070,BUS,АВТ̄́ОБУЗ,bagv1239,kvamagomedova2004
19,,автомобиль,1111,CAR,АБТАМАБИЛ,andi1255,anisalimov2010
1786,,ад,878,HELL,ДЖАГЬАНДАМАН,andi1255,anisalimov2010
5500,,ад,878,HELL,ЖУЖÁХIИ,tind1238,tinmagomedova2003
2711,,ад,878,HELL,ЖУЖÁХIИ,ghod1238,gdosaidova2006
5115,,ад,878,HELL,ЖУЖÁХI,bagv1239,kvamagomedova2004
2394,,ад,878,HELL,ЖУЖА'Х|,kara1474,kptmagomedovakhalidova2001
3895,,ад,878,HELL,жужа'хIи,akhv1239,akvmagomedovaabdulayeva2007
7352,,аист,3724,STORK,ЛАᴴКЪИ-ЛÁᴴКЪИ,tind1238,tinmagomedova2003
7051,,аист,3724,STORK,ЛАᴴКЪ–ЛÁНКЪ,bagv1239,kvamagomedova2004
150,,апрель,2847,APRIL,АПРÉЛ,ghod1238,gdosaidova2006
258,,апрель,2847,APRIL,АПРÉЛБО̄С̄I,bagv1239,kvamagomedova2004
2229,,арба; телега; подвода,122,CART,ИНКВА,andi1255,anisalimov2010
4915,,арбуз,2766,WATERMELON,ХАРБУЗИ,andi1255,anisalimov2010
