ID,lemma,glosses,glottocode,reference
1,-ащуб -забé,WIDOWER,ghod1238,gdosaidova2006
2,-ВУ́ЧИ,NOT,ghod1238,gdosaidova2006
3,-ГВАЛА,SUDDENLY,kara1474,kptmagomedovakhalidova2001
4,-К|ЕЛ,WITH,kara1474,kptmagomedovakhalidova2001
5,-КI’Ā,WITH,tind1238,tinmagomedova2003
6,-ЛЪÁРА,IF,ghod1238,gdosaidova2006
7,-ЦАХЪА,HOW,kara1474,kptmagomedovakhalidova2001
8,–ЧĪИДА,IF,bagv1239,kvamagomedova2004
9,́ӢМА,WHO,bagv1239,kvamagomedova2004
10,́ИДА,BE,bagv1239,kvamagomedova2004
11,́ИДА/Б/ЛА–ВАЧIУ/Б/ЛА,ALL,bagv1239,kvamagomedova2004
12,́ИДАХЪВАЙЛА,ALL,bagv1239,kvamagomedova2004
13,́ИЖИН,ADZE,bagv1239,kvamagomedova2004
14,́ИЛ̄Ъ–ГIАМА/́ИЛ̄ЪЕ–ГIАМА,JAW,bagv1239,kvamagomedova2004
15,́ИЛА,MOTHER,bagv1239,kvamagomedova2004
16,́ИЛА,MOTHER,bagv1239,kvamagomedova2004
17,́ИЛА–ИМА,PARENTS,bagv1239,kvamagomedova2004
18,́ИЛАКЬАР,MOTHER-IN-LAW,bagv1239,kvamagomedova2004
19,́ИЛАКЬАР,MOTHER-IN-LAW (OF WOMAN),bagv1239,kvamagomedova2004
20,́ИЛЪИ(–/б/),WE,bagv1239,kvamagomedova2004
21,́ИМĒБИ,ANCESTORS,bagv1239,kvamagomedova2004
22,́ИМА¹,FATHER,bagv1239,kvamagomedova2004
23,́ИМАКЬАР,FATHER-IN-LAW,bagv1239,kvamagomedova2004
24,́ИМАКЬАР,FATHER-IN-LAW (OF WOMAN),bagv1239,kvamagomedova2004
25,́ИНДА,WHEN,bagv1239,kvamagomedova2004
26,́ИНДЖА,WHERE,bagv1239,kvamagomedova2004
27,́ИНДЖИДАЛА,EVERYWHERE,bagv1239,kvamagomedova2004
28,́ИНЛ̄ЪАЦIА,SIXTY,bagv1239,kvamagomedova2004
29,́ИНЧ/А,BASKET,bagv1239,kvamagomedova2004
30,́ИНЩВДАЦI,FIFTY,bagv1239,kvamagomedova2004
31,́ИСА,CHEESE,bagv1239,kvamagomedova2004
32,́ИЧ/О,MARE,bagv1239,kvamagomedova2004
33,́ИЧИ/ЛА,GIVE,bagv1239,kvamagomedova2004
34,́ИЧИ/ЛА,DONATE,bagv1239,kvamagomedova2004
35,́ИЧИ/ЛА,FEED,bagv1239,kvamagomedova2004
36,́ИЧИ/ЛА,SELL,bagv1239,kvamagomedova2004
37,́ИЧИ/ЛА,ALLOW OR PERMIT,bagv1239,kvamagomedova2004
38,́ИЩИ,WE,bagv1239,kvamagomedova2004
39,́УДИ²,THITHER (THERE TO),bagv1239,kvamagomedova2004
40,́УНГЬДИ/ЛА/́УГЬДИ/ЛА,GROAN,bagv1239,kvamagomedova2004
41,́УНГЬЕКIВА,MASTER,bagv1239,kvamagomedova2004
42,́УРГЪИДИ/ЛА,THINK,bagv1239,kvamagomedova2004
43,́ЭIИЛ̄А,WHY,bagv1239,kvamagomedova2004
44,́ЭIИЛАДАЛА,AFTERWARDS,bagv1239,kvamagomedova2004
45,́ЭГЬУ/НА,BE ABLE,bagv1239,kvamagomedova2004
46,́ЭГЬУН,BLACKSMITH,bagv1239,kvamagomedova2004
47,́ЭКВАН,MEAL,bagv1239,kvamagomedova2004
48,́ЭКУ/НА,EAT,bagv1239,kvamagomedova2004
49,́ЭКУКУНА,EAT,bagv1239,kvamagomedova2004
50,́ЭТЕТИ/ЛА,FLY (MOVE THROUGH AIR),bagv1239,kvamagomedova2004
51,́ЭТИЙŌБОДОБ,BIRD,bagv1239,kvamagomedova2004
52,́ЭХЪВА,SPEAR,bagv1239,kvamagomedova2004
53,́ЭХЬУБ,TUBE,bagv1239,kvamagomedova2004
54,́ЭЩДА,WHY,bagv1239,kvamagomedova2004
55,́ЭЩДАЙА,HOW,bagv1239,kvamagomedova2004
56,́ЭЩИ/ЛА²,BRAID (VERB) OR WEAVE (BASKET),bagv1239,kvamagomedova2004
57,̄́ОЧА,CHICKEN,bagv1239,kvamagomedova2004
58,̄́ОЧА,ROOSTER,bagv1239,kvamagomedova2004
59,̄С́ИБАР,WINTER,bagv1239,kvamagomedova2004
60,̄С̄́Е̄СИНИ,IN FRONT OF,bagv1239,kvamagomedova2004
61,̄С̄ÍИБАР,SLICE,bagv1239,kvamagomedova2004
62,̄С̄ÍИКIА,FOOT,bagv1239,kvamagomedova2004
63,̄С̄ÍИНАР,ITCH,bagv1239,kvamagomedova2004
64,̄С̄ÍИНКIИДА/ЙЛА,SPIT,bagv1239,kvamagomedova2004
65,̄С̄ÍИНТIУДА/ЙЛА,PINCH,bagv1239,kvamagomedova2004
66,̄С̄ÍӮС̄IУНИ/ЛА,SUCK,bagv1239,kvamagomedova2004
67,̄С̄ÍУДИ/ЛА,SQUEEZE,bagv1239,kvamagomedova2004
68,̄С̄ÍУНИ/ЛА,SUCK,bagv1239,kvamagomedova2004
69,̄С̄ÍУНЙЛЪРАКЬ,COLLARBONE,bagv1239,kvamagomedova2004
70,̄С̄IĀЙ,RAIN (PRECIPITATION),bagv1239,kvamagomedova2004
71,̄С̄IÁБА/ЙЛА,SQUEEZE,bagv1239,kvamagomedova2004
72,̄С̄IÁЙ/ЛА¹,DRINK,bagv1239,kvamagomedova2004
73,̄С̄IÁЛГЬИДИ/ЛА/̄С̄IĀГЬИДИЛА,LEARN,bagv1239,kvamagomedova2004
